VIDEO,IMAGE,GROUND_TRUTH_SIZE,ESTIMATED_SIZE
vid40,0029.jpg,4.2,3.3796146555288016
vid40,0031.jpg,3.8,3.2301605269223637
vid40,1305.jpg,4.2,4.965681210132317
vid40,1315.jpg,5.0,5.879319256084223
vid40,1377.jpg,13.3,17.076690129045783
vid40,1379.jpg,14.6,16.28824449472519
vid40,1381.jpg,13.3,16.07027740689
vid40,1383.jpg,12.7,15.659613421301476
vid40,1385.jpg,13.2,13.243581252420613
vid40,1387.jpg,10.9,12.5709890433858
vid40,1389.jpg,11.4,12.61841559810404
vid40,1391.jpg,11.6,10.596654051114683
vid40,1393.jpg,12.0,13.640650992559111
vid40,1395.jpg,12.1,13.610109103193507
vid40,1397.jpg,12.1,12.058266666867679
vid40,1399.jpg,12.4,13.322357889378482
vid40,1401.jpg,12.7,13.71363589183212
vid40,1403.jpg,12.6,12.953080667019401
vid40,1405.jpg,12.7,13.952925846042328
vid40,1407.jpg,12.9,14.087279171809096
vid40,1409.jpg,12.0,14.355361711559517
vid40,1487.jpg,12.2,11.031699632958688
vid40,1489.jpg,12.0,11.79156667591241
vid40,1491.jpg,13.0,13.221417563551652
vid40,1493.jpg,15.5,15.433987099896774
vid40,1495.jpg,13.4,12.502317920277664
vid40,1511.jpg,11.9,10.774100237602124
vid40,1513.jpg,12.4,10.4304309627047
vid40,1515.jpg,12.0,10.109150449178037
vid40,1517.jpg,12.7,10.306543499949667
vid40,1577.jpg,13.2,15.07226562876211
vid40,1909.jpg,11.5,10.263083519474419
vid40,1911.jpg,12.3,10.269485121490094
vid40,1913.jpg,10.1,10.547283161618905
vid40,1915.jpg,10.6,10.481546178003594
vid40,1917.jpg,10.8,9.97734709219139
vid40,1919.jpg,10.3,10.701932543519511
vid40,1929.jpg,10.4,8.021329122959639
vid40,1931.jpg,10.9,10.559184124493502
vid40,1933.jpg,11.4,11.865187010512223
vid40,1935.jpg,10.6,11.798254343599119
vid40,1937.jpg,10.5,11.725309389988428
vid40,1939.jpg,11.6,9.37479052905623
vid40,1941.jpg,10.8,10.06460707694334
vid40,1943.jpg,10.4,13.754120247031356
vid40,1945.jpg,12.4,9.3260387176098
vid40,1947.jpg,12.2,10.47115403622927
vid40,1949.jpg,12.6,13.60140978246898
vid40,1951.jpg,12.4,12.756103059473947
vid40,1953.jpg,12.5,13.137647703888277
vid40,1955.jpg,12.5,9.93614208072956
vid40,1957.jpg,12.4,14.457162377826677
vid40,1959.jpg,12.5,14.115575719587316
vid40,1961.jpg,13.2,10.693431179734628
vid40,1963.jpg,13.2,12.749633952273427
vid40,1965.jpg,13.0,12.171690014959378
vid40,1967.jpg,12.3,12.933971189143998
vid40,1969.jpg,22.6,20.46568717422916
vid40,1971.jpg,22.9,20.761975492650965
vid40,1973.jpg,23.7,22.163448990539397
vid40,1975.jpg,24.0,22.05212516258261
vid40,1977.jpg,24.3,22.484187769553408
vid40,1979.jpg,24.8,24.45996281045312
vid40,1981.jpg,25.1,22.30633029915555
vid40,1983.jpg,25.2,23.461393963416015
vid40,1985.jpg,25.5,23.651982830399113
vid40,1987.jpg,25.8,21.34150600424253
vid40,1989.jpg,25.4,20.43126623038915
vid40,1991.jpg,23.5,21.74624085063801
vid40,1993.jpg,23.1,18.95598802226697
vid40,1995.jpg,23.2,18.570796320610118
vid40,1997.jpg,22.9,21.50737554333615
vid40,1999.jpg,22.7,17.7579122375009
vid40,2001.jpg,22.2,17.515088808383602
vid40,2003.jpg,21.8,17.300129162654006
vid40,2005.jpg,21.8,19.015144067138504
vid40,2007.jpg,22.0,20.284380459148256
vid40,2009.jpg,21.9,19.55560303389783
vid40,2011.jpg,22.3,18.28135178107088
vid40,2013.jpg,22.0,18.14391951173978
vid40,2015.jpg,22.2,20.343863768338334
vid40,2017.jpg,21.9,18.883559600912204
vid40,2019.jpg,21.8,18.78680098558275
vid40,2021.jpg,21.9,19.79971227284244
vid40,2023.jpg,21.7,19.481051460814363
vid40,2025.jpg,22.4,19.764804776394236
vid40,2027.jpg,22.1,22.362522869726416
vid40,2029.jpg,22.1,22.151938797480803
vid40,2031.jpg,22.1,22.44911315094339
vid40,2033.jpg,22.2,23.88099052460458
vid40,2035.jpg,22.3,20.299297350102666
vid40,2037.jpg,22.6,20.160140076740696
vid40,2039.jpg,22.9,24.112662624202443
vid40,2041.jpg,23.5,25.477036688791568
vid40,2043.jpg,23.7,25.58632886569579
vid40,2045.jpg,24.5,23.049616765195893
vid40,2047.jpg,25.7,23.699308620716863
vid40,2049.jpg,26.0,24.613433308406222
vid40,2051.jpg,25.4,24.048938757063322
vid40,2053.jpg,23.9,23.90255914084895
vid40,2055.jpg,22.2,21.337703702849772
vid40,2057.jpg,20.7,21.14999173013001
vid40,2059.jpg,20.2,18.93779226221549
vid40,2061.jpg,19.5,18.32928216165417
vid40,2063.jpg,19.5,16.484882674043163
vid40,2065.jpg,19.2,18.157050202193027
vid40,2067.jpg,19.0,18.10575896583568
vid40,2069.jpg,19.2,18.010853153762024
vid40,2071.jpg,19.4,21.665655102843044
vid40,2073.jpg,20.1,22.143673164341315
vid40,2075.jpg,20.4,16.98247125920458
vid40,2077.jpg,22.1,21.048377134099812
vid40,2097.jpg,23.6,22.836987632787924
vid40,2099.jpg,27.9,23.295770435506174
vid40,2101.jpg,28.2,23.916268622472035
vid40,2103.jpg,27.5,22.240852854475147
vid40,2105.jpg,26.2,21.269621994477887
vid40,2107.jpg,25.6,23.236991481839592
vid40,2109.jpg,25.2,22.444708564639942
vid40,2111.jpg,25.0,24.069598626772013
vid40,2113.jpg,25.1,21.906096234097294
vid40,2115.jpg,24.5,21.334152644206263
vid40,2117.jpg,24.6,22.540059106194978
vid40,2119.jpg,24.1,20.433036396831636
vid40,2121.jpg,24.1,19.92939198053361
vid40,2123.jpg,24.1,20.883065762184913
vid40,2125.jpg,24.0,22.16799980605375
vid40,2127.jpg,24.0,22.216964949297683
vid40,2129.jpg,24.4,21.668960018627374
vid40,2131.jpg,24.7,19.9372714305052
vid40,2133.jpg,24.0,19.599628877064863
